Column,Word1,Word2
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,fungal,infection
description,infection,is
description,is,a
description,a,common
description,common,skin
description,skin,condition
description,condition,caused
description,caused,by
description,by,fungi
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,allergy,is
description,is,an
description,an,immune
description,immune,system
description,system,reaction
description,reaction,to
description,to,a
description,a,substance
description,substance,in
description,in,the
description,the,environment
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,gerd,gastroesophageal
description,gastroesophageal,reflux
description,reflux,disease
description,disease,is
description,is,a
description,a,digestive
description,digestive,disorder
description,disorder,that
description,that,affects
description,affects,the
description,the,lower
description,lower,esophageal
description,esophageal,sphincter
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,chronic,cholestasis
description,cholestasis,is
description,is,a
description,a,condition
description,condition,where
description,where,bile
description,bile,flow
description,flow,from
description,from,the
description,the,liver
description,liver,is
description,is,reduced
description,reduced,for
description,for,a
description,a,prolonged
description,prolonged,period
description,drug,reaction
description,reaction,occurs
description,occurs,when
description,when,the
description,the,body
description,body,reacts
description,reacts,adversely
description,adversely,to
description,to,a
description,a,medication
description,drug,reaction
description,reaction,occurs
description,occurs,when
