Disease,description,workout,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Diet_1,Diet_2,Diet_3,Diet_4,Medication_1,Medication_2,Medication_3,Medication_4,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods, skin_rash, nodal_skin_eruptions, dischromic _patches,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, nodal_skin_eruptions, dischromic _patches,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, skin_rash, dischromic _patches,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, skin_rash, nodal_skin_eruptions,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods, skin_rash, nodal_skin_eruptions, dischromic _patches,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, nodal_skin_eruptions, dischromic _patches,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, skin_rash, dischromic _patches,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, skin_rash, nodal_skin_eruptions,,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,Fungal infection is a common skin condition caused by fungi.,Avoid sugary foods,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,Antifungal Diet,Probiotics,Garlic,Coconut oil,Antifungal Cream,Fluconazole,Terbinafine,Clotrimazole,bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid allergenic foods, continuous_sneezing, shivering, chills, watering_from_eyes,Elimination Diet,Omega-3-rich foods,Vitamin C-rich foods,Quercetin-rich foods,Antihistamines,Decongestants,Epinephrine,Corticosteroids,apply calamine,cover area with bandage,,use ice to compress itching
