Disease,description,workout,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Diet_1,Diet_2,Diet_3,Diet_4,Medication_1,Medication_2,Medication_3,Medication_4,Precaution_1,Precaution_2,Precaution_3,Precaution_4
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['skin_rash'],['nodal_skin_eruption'],"['dischromic', '_patch']","['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['skin_rash'],['nodal_skin_eruption'],"['dischromic', '_patch']",,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['nodal_skin_eruption'],"['dischromic', '_patch']",,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['skin_rash'],"['dischromic', '_patch']",,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['skin_rash'],['nodal_skin_eruption'],,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['skin_rash'],['nodal_skin_eruption'],"['dischromic', '_patch']",,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['nodal_skin_eruption'],"['dischromic', '_patch']",,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['skin_rash'],"['dischromic', '_patch']",,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['skin_rash'],['nodal_skin_eruption'],,"['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
"['fungal', 'infec']","['fungal', 'infec', 'common', 'skin', 'condi', 'caus', 'fungi']","['avoid', 'sugary', 'food']",['itch'],['skin_rash'],['nodal_skin_eruption'],"['dischromic', '_patch']","['antifungal', 'diet']",['probiotic'],['garlic'],"['coconut', 'oil']","['antifungal', 'cream']",['fluconazole'],['terbinafine'],['clotrimazole'],"['bath', 'twice']","['use', 'detol', 'neem', 'bath', 'water']","['keep', 'infect', 'area', 'dry']","['use', 'clean', 'cloth']"
